"Create Date","Last Name","Company / Account","Entitlement Details"
"02/08/2021","Micron FAB10A - YK-50611F-97125495 - L&M","EXYTE SINGAPORE PTE. LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Oil Pump and Actuator Replacement(V) - 12000;Sensors and Transducers Replaceme(R) - 5000;Electronic Components Replacement(R) - 20000;Gasket, Seals and O-Rings Replace(V) - 6000;Water Flow Switch Replacement(V) - 2000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(V) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Micron FAB10A - YK-50611F-97125503 - L&M","EXYTE SINGAPORE PTE. LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Oil Pump and Actuator Replacement(V) - 12000;Sensors and Transducers Replaceme(R) - 5000;Electronic Components Replacement(R) - 20000;Gasket, Seals and O-Rings Replace(V) - 6000;Water Flow Switch Replacement(V) - 2000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(V) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Linxens Singapore Pte Ltd - YMC2-50611L-85625656 - L&M","LINXENS SINGAPORE PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Sensors and Transducers Replaceme(R) - 5000;Electronic Components Replacement(R) - 20000;Gasket, Seals and O-Rings Replace(V) - 6000;Water Flow Switch Replacement(V) - 2000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(V) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","GE Aviation - YK-50611-M54274744 - L&M","PENG YAP M&E SYSTEMS PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(R) - 15000;Gasket, Seals and O-Rings Replace(R) - 6000;Refrigerant Replacement(V) - 8000;Water Flow Switch Replacement(R) - 2000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(R) - 1000;Fine Tune Refrigerant Charge(R) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(R) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(R) - 35000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Micron FAB10A - YK-50611A95979755 - L&M","EXYTE SINGAPORE PTE. LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Sensors and Transducers Replaceme(R) - 5000;Electronic Components Replacement(R) - 20000;Gasket, Seals and O-Rings Replace(V) - 6000;Water Flow Switch Replacement(V) - 2000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(V) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Micron FAB10A - YK-50611A95979757 - L&M","EXYTE SINGAPORE PTE. LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Sensors and Transducers Replaceme(V) - 5000;Electronic Components Replacement(V) - 20000;Tube Replacement - Evaporator and(V) - 3000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(R) - 1000;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;Compressor Overhaul(V) - 65000;YMU Mobile HEPA Filtration System(V) - 1850;"
"02/08/2021","Micron FAB10A - YK-50611A95979770 - L&M","EXYTE SINGAPORE PTE. LTD.","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Oil Pump and Actuator Replacement(V) - 12000;Sensors and Transducers Replaceme(R) - 5000;Electronic Components Replacement(R) - 20000;Gasket, Seals and O-Rings Replace(V) - 6000;Water Flow Switch Replacement(V) - 2000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Chiller End-Sheet Coating(V) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Thye Hua Kwan Hospital - YMC2-50611H-65126047 - L&M","DEG Engineering Pte Ltd","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Chemical Descaling(V) - 2000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Linxens Singapore Pte Ltd - YMC2-50611K85625656 - L&M","LINXENS SINGAPORE PTE LTD","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Shaft Seal Replacement(V) - 15000;Sensors and Transducers Replaceme(V) - 5000;Electronic Components Replacement(V) - 20000;Thrust Bearing Inspection(V) - 10000;Tube Replacement - Evaporator and(V) - 3000;Chemical Descaling(R) - 2000;Leak Check and Pressure Test(V) - 1000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(R) - 1000;Chiller End-Sheet Coating(R) - 1500;Starter Servicing(R) - 1000;Motor Revarnishing and Bearing Ch(V) - 35000;Compressor Overhaul(V) - 65000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
"02/08/2021","Thye Hua Kwan Hospital - YMC2-50611H-65126050 - L&M","DEG Engineering Pte Ltd","Lubrication Oil Replacement(R) - 5000;Oil Filter Replacement(R) - 400;Dryer Filter Replacement(R) - 400;Coolant Liquid (VSD) Replacement(R) - 500;Chemical Descaling(V) - 2000;Fine Tune Refrigerant Charge(V) - 2000;Insulation Repair and Painting(V) - 1000;Starter Servicing(R) - 1000;YMU Mobile HEPA Filtration System(V) - 1850;Cooling Tower Water Treatment(V) - 20000;"
